Wessam,12345678900125,789456123,4,wezooo@gmail.com,1023798556,29805272401117,2020-2021
Comp 601,,,,,,,
Comp 602,,,,,,,
Comp 603,,,,,,,
Comp 604,,,,,,,
Comp 605,,,,,,,
Comp 606,,,,,,,
Comp 607,,,,,,,
Bassel,414512,8756412,4,bassel@gmail.com,1023798556,29805272401117,2020-2021
Comp 601,,,,,,,
Comp 602,,,,,,,
Comp 603,,,,,,,
Comp 604,,,,,,,
Comp 605,,,,,,,
Comp 606,,,,,,,
Comp 607,,,,,,,
Kareem,87894541864,24157874,4,kareem@gmail.com,1023798556,29805272401117,2020-2021
comp 801,,,,,,,
comp 802,,,,,,,
comp 803,,,,,,,
comp 804,,,,,,,
comp 805,,,,,,,
comp 806,,,,,,,
comp 807,,,,,,,
